# -*- coding: utf-8 -*-
# Comma-separated entries
# List of absorption lines for prospect viewer
# Sources: 
#   - SDSS spZline files ($IDLSPEC2D_DIR/etc/emlines.par, wavelengths in air for lambda > 2000, vacuum for lambda < 2000);
#   - A. Edge list (sent by email to T. Davis, 07/04/2020);
#   - desisim recombination/forbidden line lists (J. Moustakas; selected those whose quoted line-ratio wrt Hbeta is > 0.1); 
#   - few others.
# name,longname,lambda,vacuum,major
Si II,Si II 1260,1260.4221,True,False
O I,O I 1302,1302.1685,True,False
Si II,Si II 1304,1304.3702,True,False
C II,C II 1334,1334.5323,True,False
Si IV,Si IV 1394,1393.7602,True,False
Si IV,Si IV 1403,1402.7729,True,False
S V,S V 1501,1501.7600,True,False
Si II,Si II 1526,1526.7070,True,False
C IV,C IV 1549,1549.4800,True,False
Fe II,Fe II 1608,1608.4509,True,False
Al II,Al II 1670,1670.7886,True,False
Si II,Si II 1808,1808.0129,True,False
Al III,Al III 1854,1854.7183,True,False
Al III,Al III 1862,1862.7911,True,False
Mg I,Mg I 2026,2026.4768,True,False
Fe II,Fe II 2344,2344.2130,True,False
Fe II,Fe II 2374,2374.4603,True,False
Fe II,Fe II 2382,2382.7642,True,False
Fe II,Fe II 2389,2389.2396,True,False
Mg II,Mg II 2796,2796.3543,True,False
Mg II,Mg II 2803,2803.5315,True,False
Hζ,Balmer ζ,3890.1510,True,False
K,K (Ca II 3933),3934.7770,True,True
H,H (Ca II 3968),3969.5910,True,True
Hε,Balmer ε,3971.1950,True,False
Hδ,Balmer δ,4102.8920,True,False
G,G (Ca I 4307),4305.6100,True,True
Hγ,Balmer γ,4341.6840,True,False
Hβ,Balmer β,4862.6830,True,False
Mg I,Mg I 5175,5176.7000,True,True
D2,D2 (Na I 5889),5891.5833,True,True
# D,D (Na I doublet),5892.9,False,False
D1,D1 (Na I 5895),5897.5581,True,True
Hα,Balmer α,6564.6130,True,False
Ca II,Ca II 8500,8500.3600,True,False
Ca II,Ca II 8544,8544.4400,True,False
Ca II,Ca II 8664,8664.5200,True,False
